id;region;sex;age;income;isMarried;nchildren;religious;education;occupation;rate_marriage;naffairs
353;2;1;22;207015,4531;1;0;5;16;4;4;0 
354;1;0;27;240121,1719;1;1;4;16;3;5;0 
355;1;0;27;398151,7813;1;1;4;12;3;5;0 
356;3;0;47;311166,5938;1;1;2;14;2;5;0 
357;3;0;32;1211586,375;0;1;3;14;4;1;0 
358;3;1;42;404200;1;1;2;16;2;5;0 
359;1;1;22;96134,44531;1;0;4;16;4;4;0 
360;1;1;27;135731,4063;0;0;3;20;4;1;0 
361;3;1;32;148600;0;1;3;20;2;1;0 
362;2;0;22;381112,1875;0;0;5;14;4;1;0 
363;3;0;47;448918;1;1;5;14;2;4;0 
364;1;0;32;530325,5625;0;1;3;14;2;1;0 
365;1;1;57;168415,9844;0;1;4;17;5;1;0 
366;1;1;27;1134000;1;1;3;20;3;5;0 
367;1;0;32;401766,625;1;1;4;17;4;5;0 
368;2;0;37;216400;1;1;4;16;4;5;0 
369;2;0;32;165772,4063;0;1;1;18;3;1;0 
370;1;0;22;30000;0;0;3;14;3;1;0 
371;3;0;27;695866,6875;1;1;4;14;3;2;0 
372;1;1;57;425043,3438;1;1;5;18;4;2;0 
373;1;1;32;661548,375;0;1;2;18;3;1;0 
374;1;0;27;347151,0938;1;0;4;17;2;3;0 
375;2;1;22;128662;1;0;4;14;1;5;0 
376;3;0;22;537391,3125;1;1;4;14;3;4;0 
377;1;0;32;441200;1;1;3;16;5;5;0 
378;2;0;47;244086;1;1;3;16;4;4;0 
379;2;0;22;739200;0;0;3;16;2;1;0 
380;2;0;22;348880;0;1;2;14;4;1;0 
381;2;0;27;188189,9375;1;1;1;16;2;5;0 
382;1;1;52;91650,04688;1;1;4;16;1;5;0 
383;1;1;32;331026,6563;0;1;4;20;3;1;0 
384;2;1;47;295092,2188;1;1;4;16;3;4;0 
385;1;0;27;303073,5625;0;1;2;14;4;1;0 
386;3;0;22;84000;1;0;4;14;1;5;0 
387;1;0;32;927160;0;1;2;16;5;1;0 
388;3;0;22;198810;1;0;2;16;2;4;0 
389;2;0;22;482026;0;0;2;16;1;1;0 
390;1;0;42;491466,6563;0;1;3;18;4;1;0 
391;1;0;27;309000;0;1;5;14;1;1;0 
392;3;1;42;799551,3125;1;1;4;16;2;4;0 
393;3;0;57;272400;1;1;3;18;1;2;0 
394;3;1;42;325028;0;1;3;18;1;1;0 
395;2;0;32;234322,75;1;1;2;14;3;2;0 
396;1;1;22;302680,4063;0;0;5;12;5;1;0 
397;3;0;22;759900;0;0;1;16;4;1;0 
398;2;0;22;182998,7969;1;0;1;14;5;5;0 
399;3;0;32;259000;0;1;4;12;5;1;0 
400;3;1;22;216900;0;0;2;18;1;1;0 
401;2;1;27;838466,6875;0;1;5;17;5;1;0 
402;1;0;27;776500;0;1;4;12;1;1;0 
403;3;1;42;194930,5625;1;1;5;18;2;4;0 
404;3;1;32;580081,625;0;0;2;20;2;1;0 
405;2;1;57;107543,8047;1;0;4;9;3;1;0 
406;1;1;37;598826,0625;1;0;4;18;5;5;0 
407;3;1;52;134920,4063;0;1;2;17;1;1;0 
408;3;1;47;775299,125;0;1;4;17;3;1;0 
409;1;0;27;1132053,75;1;0;2;17;2;4;0 
410;3;0;27;253866,6719;0;1;4;14;1;1;0 
411;3;0;22;371652,1875;1;0;2;14;1;3;0 
412;3;1;37;230745,8594;0;1;2;20;2;1;0 
413;1;1;27;162443,3281;1;0;4;12;5;3;0 
414;3;1;42;664400;0;1;4;18;1;1;0 
415;3;0;22;697000;1;0;3;14;5;5;0 
416;1;0;22;205906,4063;1;1;2;14;4;3;0 
417;2;0;57;109899,6328;0;0;4;20;3;1;0 
418;3;1;37;272289,0625;1;1;4;14;5;3;0 
419;1;0;27;580000;1;1;3;18;3;5;0 
420;2;0;27;153717,3906;1;0;4;14;3;5;0 
421;2;1;22;454700;0;1;4;16;4;1;0 
422;1;0;27;562300;0;1;2;16;5;1;0 
423;1;0;37;160770;1;1;2;14;2;1;0 
424;3;0;22;202466,6719;0;0;5;14;5;1;0 
425;3;1;27;272876,5938;0;1;2;20;3;1;0 
426;1;1;27;387007,3438;1;1;4;14;4;5;0 
427;3;1;22;476138,875;1;0;1;16;3;5;0 
428;1;0;27;132692,2188;0;1;4;14;5;1;0 
429;2;0;32;277650;0;1;5;16;5;1;0 
430;3;1;32;362896,7188;0;1;4;18;4;1;0 
431;2;0;32;537782,625;1;1;2;14;2;4;0 
432;2;0;22;483052,4375;0;0;3;17;3;1;0 
433;2;1;27;223278,4375;0;1;4;17;2;1;0 
434;2;0;52;2194300;0;1;5;14;3;1;0 
435;3;0;27;379686,9688;1;1;2;12;3;2;0 
436;3;0;27;194916,7344;0;1;3;12;4;1;0 
437;2;0;42;373517,8438;0;1;2;14;4;1;0 
438;2;0;42;223062,6563;1;1;4;14;2;4;0 
439;1;1;27;572600;0;1;4;14;3;1;0 
440;3;1;27;554666,6875;1;1;2;20;5;2;0 
441;1;0;42;674828,25;0;1;3;12;5;1;0 
442;2;1;27;278263,4688;0;1;3;16;2;1;0 
443;2;0;27;327013,5938;1;1;3;14;3;4;0 
444;2;0;22;373480,1875;0;0;2;14;5;1;0 
445;2;0;27;1086400;0;1;4;14;5;1;0 
446;2;0;22;350780,4688;0;0;4;14;1;1;0 
447;2;0;22;510176;1;0;2;16;2;5;0 
448;2;1;47;159398,2031;1;0;4;14;5;4;0 
449;2;1;37;279496;1;1;2;18;4;2;0 
450;2;1;37;1856080;0;1;3;17;2;1;0 
451;1;0;27;113670;0;1;2;16;4;1;0 
452;1;1;27;727001,25;1;0;3;18;5;4;3 
453;2;0;27;304500;0;1;3;17;1;1;3 
454;2;1;37;150178,8438;0;1;5;18;3;1;7 
455;3;0;32;878400;1;1;3;17;2;2;12 
456;2;1;22;287961,3438;0;0;4;16;4;1;1 
457;2;0;22;956000;1;1;2;14;2;5;1 
458;2;1;37;199289,4844;0;1;4;14;1;1;12 
459;3;0;22;180731,5156;0;0;2;14;5;1;7 
460;1;1;37;110882,7109;0;1;2;18;1;1;2 
461;3;0;32;1005358,75;1;1;4;12;3;2;3 
462;3;0;37;479299;0;1;4;14;5;1;1 
463;1;0;42;22748,90039;0;1;3;17;5;1;7 
464;1;0;42;77882,91406;1;1;5;9;3;1;12 
465;3;1;37;428096,7813;1;1;2;20;1;2;12 
466;3;0;32;148464,2969;1;1;3;14;4;2;12 
467;2;1;27;276685;0;0;1;18;3;1;3 
468;2;1;37;187562,2344;1;1;2;18;3;3;7 
469;3;0;27;177253,0156;0;0;3;17;4;1;7 
470;1;1;42;269384,0313;1;1;4;16;5;5;1 
471;2;0;47;120000;0;1;5;14;4;1;1 
472;1;0;27;202436,3281;0;1;3;18;3;1;7 
473;2;0;27;982240;0;1;5;14;2;1;1 
474;1;1;27;599500;1;1;3;17;5;4;12 
475;3;0;27;440089,4375;0;1;4;14;2;1;12 
476;3;0;42;237320,4063;0;1;4;16;1;1;3 
477;2;0;27;179082,8906;1;1;4;12;3;3;7 
478;3;1;27;145800;0;0;2;18;3;1;1 
479;3;1;32;632266,6875;1;0;4;20;5;4;1 
480;2;0;27;505669,7188;1;1;3;14;3;3;1 
481;3;0;32;220800;1;1;4;14;2;4;3 
482;3;1;27;399300;0;1;2;18;1;1;3 
483;1;0;27;211601,375;1;0;5;14;5;5;1 
484;2;0;32;914295,8125;1;1;4;18;5;5;1 
485;3;0;32;297841,7813;1;1;2;17;2;4;7 
486;2;1;37;266658,75;0;1;2;20;2;1;7 
487;2;0;37;157783,9063;0;0;1;20;3;1;7 
488;3;0;32;232403,7344;0;1;2;16;3;1;12 
489;3;1;52;145490,3281;0;1;2;20;5;1;7 
490;1;0;42;508047,0625;0;1;1;12;1;1;7 
491;1;1;52;245478,2656;1;1;2;20;4;3;1 
492;3;1;37;197922,8125;1;1;3;18;1;5;2 
493;1;0;22;215400;1;0;3;12;2;4;12 
494;3;1;27;260235,7188;1;1;1;18;1;2;12 
495;1;1;27;295922,1875;1;1;3;18;2;5;1 
496;1;1;47;228535,7188;1;1;4;17;1;5;12 
